StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,"18yrold ","Consent ","RX1 ","RX1_note ",RX3,RX3_note,"RX6 ","RX6_note ",RX7,"RX7_note ","RX8 ","RX8_note ","RX9 ","RX9_note ","RX11 ","RX11_note ",RX12,"RX12_note ","RX13 ","RX13_note ","RX15 ","RX15_note ","RX18 ","RX18_note ",RX21,"RX21_note ","RX22 ","RX22_note ",RX24,"RX24_note ","RX25 ","RX25_note ","RX26 ","RX26_note ","EJ1 ","EJ1_note ","EJ2 ","EJ2_note ","EJ5 ","EJ5_note ","EJ7 ","EJ7_note ","EJ8 ","EJ8_note ","EJ9 ","EJ9_note ","EJ10 ","EJ10_note ",EJ12,"EJ12_note ","EJ13 ","EJ13_note ","EJ16 ","EJ16_note ","EJ17 ","EJ17_note ","EJ20 ","EJ20_note ",EJ22,"EJ22_note ","DT1 ",DT1_note,"DT2 ","DT2_note ","DT3 ","DT3_note ","DT5 ","DT5_note ","DT7 ","DT7_note ","DT8 ","DT8_note ","DT9 ","DT9_note ","DT10 ","DT10_note ","DT11 ","DT13_note ","DT14 ","DT14_note ","DT15 ","DT15_note ","DT16 ","DT16_note ","DT18 ","DT18_note ","DT19 ","DT19_note ","DT20 ","DT20_note ","DT21 ","DT21_note ","DT23 ","DT23_note ","End_eval ","IDcode ","Nationality "
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Are you aged 18 or older?,Do you consent to taking part in this study?,The music made me feel calm or relaxed,Notes about this item.,I expected the music to make me feel at ease,Notes about this item.,I lost track of time while listening to the music,Notes about this item.,I knew that this music would calm me down,Notes about this item.,Music eased me into a calm state,Notes about this item.,Music provided a relaxing mood,Notes about this item.,I rested with the music,Notes about this item.,I tuned into the music to feel relaxed,Notes about this item.,Relaxing with the music made me feel better,Notes about this item.,Listening to music helped me recuperate,Notes about this item.,Listening to music helped me relax,Notes about this item.,I could picture my friends and I relaxing to this type of music,Notes about this item.,It was socially appropriate to relax with the music,Notes about this item.,I was aware of the calming effect of the music,Notes about this item.,I wanted to use music to set a more soothing mood,Notes about this item.,I wanted to listen to my music to feel more relaxed,Notes about this item.,I found delight in the music,Notes about this item.,The music gave me pleasure,Notes about this item.,I enjoyed immersing myself in the music,Notes about this item.,I felt like I was having a good time with the music,Notes about this item.,I enjoyed how the music made me feel,Notes about this item.,The music made the experience so much more than what it was,Notes about this item.,The music made me have a good time,Notes about this item.,I was listening to the music to sing or hum along,Notes about this item.,Listening to music was a good way of entertaining myself,Notes about this item.,I enjoyed the music,Notes about this item.,I expected this to be enjoyable from what my friends have said,Notes about this item.,People would have agreed that my music is more enjoyable,Notes about this item.,I appreciated the musical surprises,Notes about this item.,I was easily distracted by the music,Notes about this item.,The music helped me escape from my daily routine,Notes about this item.,Music distracted my mind from the outside world,Notes about this item.,The music made me forget what I was thinking about,Notes about this item.,Music acted as a mental shield against my distressing thoughts,Notes about this item.,The music helped me break away from reality,Notes about this item.,It helped to have some background music on to distract me,Notes about this item.,Listening to music made doing other things more pleasant,Notes about this item.,Listening to music made doing other things more pleasant,Notes about this item.,Music allowed me to momentarily disconnect from my surroundings,Notes about this item.,The music provided a diversion from what was happening,Notes about this item.,I was listening to the music to make the experience less boring,Notes about this item.,The music allowed me to navigate my emotions to find solace,Notes about this item.,I sought music out to distract me from social interactions,Notes about this item.,I felt distracted by the music more than someone should be,Notes about this item.,I felt judged after letting myself get distracted by the music,Notes about this item.,I chose to listen to music as a distraction,Notes about this item.,Were there aspects of Enjoyment-Distraction-Relaxation which you thought were missing or under-represented in the item pool? Or similar concepts missing which need to be addressed?,"Please input an identification code using this format: ""initial of your last name + institutional abbreviation"" 

For example, someone named 'Kirts' at 'Durham University' would write the code: KDU",What is your nationality?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1217486624""}","{""ImportId"":""QID1217486625""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86_TEXT""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84_TEXT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88_TEXT""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""QID1217486618_TEXT""}","{""ImportId"":""QID1217486619_TEXT""}","{""ImportId"":""QID1217486620_TEXT""}"
2024-07-14 19:40:53,2024-07-14 19:46:57,IP Address,100,363,True,2024-07-14 19:46:58,R_80Go0Vl3SkNM61H,anonymous,EN,,,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,"Wording feels funny (turned, not tuned?)",Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,"and it has to be ""my music""?",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,this seems to be about something else,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,too short?,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,,,
2024-08-12 17:01:26,2024-08-12 17:13:11,IP Address,100,705,True,2024-08-12 17:13:12,R_2fV24m17y14xKe4,anonymous,EN,,,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Not Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Not Relevant,,Not Relevant,,Not Relevant,,Not Relevant,,Not Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Not Relevant,,Not Relevant,,Not Relevant,,Not Relevant,,Not Relevant,,Moderately Relevant,,,,
2024-09-06 12:12:33,2024-09-06 12:12:51,Survey Preview,100,18,True,2024-09-06 12:12:52,R_2N96jsxUC8rbCkp,preview,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06 12:12:54,2024-09-06 12:13:10,Survey Preview,100,16,True,2024-09-06 12:13:10,R_2K7MgFZAsZ0EVc9,preview,EN,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06 12:13:13,2024-09-06 12:15:01,Survey Preview,100,107,True,2024-09-06 12:15:02,R_2Pe7wyVdQMrR1J8,preview,EN,1,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDU,
2024-09-27 09:05:48,2024-09-27 09:16:00,IP Address,100,612,True,2024-09-27 09:16:01,R_2AXBQI5onTyha2E,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,Not Relevant,,Not Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Not Relevant,,Not Relevant,,Not Relevant,,Not Relevant,,Slightly Relevant,,Not Relevant,,Slightly Relevant,,Not Relevant,,Not Relevant,,Slightly Relevant,,Not Relevant,,Not Relevant,,Not Relevant,,Not Relevant,,Slightly Relevant,,Slightly Relevant,,Not Relevant,,Slightly Relevant,The tone of this item is very different from the rest,Not Relevant,,Not Relevant,,Not Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Not Relevant,,Moderately Relevant,,Not Relevant,,Not Relevant,,Not Relevant,,Moderately Relevant,,,OUoY,"British "
2024-10-02 19:15:29,2024-10-02 19:22:16,IP Address,100,406,True,2024-10-02 19:22:16,R_2s5x9vNSzN8KnZn,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,this same item is listed twice in a row,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Not Relevant,,Slightly Relevant,a bit confusing,Slightly Relevant,,Moderately Relevant,,,JDU,USA
2024-10-05 12:15:22,2024-10-05 13:40:25,IP Address,100,5103,True,2024-10-05 13:40:26,R_2k04jXLRtDZwtLb,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Slightly Relevant,but it didn't? I'd suggest a stronger statement about knowledge of musical functions 'I knew the music would...',Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,"possibly has some overlap with PEP episodes, but again feels more EDR",Moderately Relevant,"possible PEP overlap, but could be relevant to multiple episodes depending on what is being recuperated from (social, emotional, physical, etc.)",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,"This is more specifically an EDR episode, but certainly has some overlap with AIA: aesthetics too. Something like AIA as an umbrella term that would include this EDR example.",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,"While, clearly relevant to EDR episodes, it feels like it would underpin many musical episodes even if it was a secondary goal",Slightly Relevant,This feels like it would describe the affective reflection to many musical episodes. Is it specific to EDR?,Moderately Relevant,"Certainly capture the enhancing enjoyment of other activities; typically entertainment ones given the description. However, it could be confused with AIA: being moved in some contexts / interpretations.",Moderately Relevant,"Is this specific to EDR episodes? If so, it would appear to be related to something in the music. Perhaps being more specific to musical qualities would make it more specifically EDR related",Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Not Relevant,This seems like the emergence of an AIA: curiosity episode during another musical episode. The EDR description appears to rely more typically on existing knowledge of the music and would be familiar to the listener.,Not Relevant,"the item here sounds happenstance, not a personally driven goal to distract one's self with music.",Extremely Relevant,,Extremely Relevant,"with some overlap to FM episodes, but I would suggest more related to EDR.",Slightly Relevant,"Was this the goal of the individual, or the output of a chance interaction with music. agency is unclear",Extremely Relevant,"I like the phrasing 'mental shield' a lot, but it might be quite ambiguously interpreted ",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,double item?,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Not Relevant,"This seems heavily PEP, not EDR",Extremely Relevant,,Slightly Relevant,"This suggests exposure to music (possibly unintended) has allowed a new goal to emerge. This new goal remains unclear but could be just about anything (PEP: it made you think about old memories or sparked a moving AIA episode). What is clear, is that the music and the response are not congruent with the initial goal, even if the initial goal was to be a little distracted.",Moderately Relevant,,Extremely Relevant,,"obtaining and enhancing a positive mood seem well represented, but maintaining a pre-existing positive mood seems less represented. ",TML,British
2024-10-06 14:36:19,2024-10-06 14:46:42,IP Address,100,623,True,2024-10-06 14:46:43,R_8HNVgaUd6Dtw6Pj,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,,sounds a bit weird... when would it be inappropriate?,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,,"ambiguous - could also be enjoyment of ""negative"" emotions like sadness etc",Not Relevant,,Extremely Relevant,,Not Relevant,maybe I was listening to the music AND singing or humming along?,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,,"don't understand the item? what is ""my music""? and ""more enjoyable"" than what?",Slightly Relevant,,Extremely Relevant,,,maybe plural? daily routines,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,"you can delete ""to navigate my emotions""?",Extremely Relevant,,Not Relevant,measures more self-judgment/criticism,Slightly Relevant,,Extremely Relevant,,,KJYU,German
